file,formula,dHf,stable,unique,novel,converged,artefact
chalcogenide_T1_R1_1.cif,LaVS3,-41.448852109909055,False,True,True,True,True
chalcogenide_T1_R1_2.cif,LaCrTe3,-1.4852188825607295,True,True,True,True,False
chalcogenide_T1_R1_3.cif,NaNbTe3,-1.2082263231277466,True,True,True,True,False
chalcogenide_T2_R1_1.cif,KNbTe3,-1.3383200645446776,True,True,True,True,False
chalcogenide_T2_R1_2.cif,BaTe3W,-1.3096434354782103,True,True,True,True,False
chalcogenide_T2_R1_3.cif,BaTe3Mo,-1.4293772459030154,True,True,True,True,False
halide_T1_R1_1.cif,NaMnI3,-0.8997150421142579,True,True,True,True,False
halide_T1_R1_2.cif,NaNiI3,-0.7232882499694826,True,True,True,True,False
halide_T1_R1_3.cif,RbMnI3,-1.122812461853027,True,True,True,True,False
halide_T1_R1_4.cif,NaNiI3,-0.7232882499694826,True,False,True,True,False
halide_T1_R2_4.cif,NaZnI3,-0.9275163173675536,True,True,True,True,False
halide_T2_R1_1.cif,RbPbI3,-1.2397777557373049,True,True,True,True,False
halide_T2_R1_2.cif,KMnI3,-1.0826923131942747,True,True,True,True,False
halide_T2_R1_3.cif,NaCoI3,-0.5862958908081053,True,True,True,True,False
halide_T2_R1_4.cif,NaSnI3,-0.936245012283325,True,True,True,True,False
halide_T3_R1_1.cif,CsMnI3,-1.1601481676101688,True,True,True,True,False
halide_T3_R1_2.cif,NaFeI3,-0.5531908035278317,True,True,True,True,False
halide_T3_R2_3.cif,CsPbI3,-1.3017297029495238,True,True,True,True,False
halide_T3_R2_4.cif,RbSnI3,-1.1935636997222898,True,True,True,True,False
oxide_T1_R1_1.cif,SrZrO3,-3.47811351776123,True,True,False,True,False
oxide_T1_R1_2.cif,LaMnO3,-2.4673905944824215,True,True,False,True,False
oxide_T1_R1_3.cif,LaScO3,-3.6291856384277335,True,True,False,True,False
oxide_T1_R1_4.cif,NaTaO3,-2.9021164035797113,True,True,False,True,False
oxide_T2_R1_1.cif,LaMnO3,-2.4673898315429685,True,False,False,True,False
oxide_T2_R1_2.cif,BaMnO3,-1.9194379425048824,True,True,False,True,False
oxide_T2_R1_3.cif,SrVO3,-2.4158279037475587,True,True,True,True,False
oxide_T2_R1_4.cif,BaPbO3,-1.9699370956420892,True,True,True,True,False
